time_s,measured_signed_tangent_speed_mps,inferred_local_path_curvature_per_m,commanded_speed_mps,commanded_curvature_speed_rate_radps,inferred_measured_speed_geometric_rate_radps,quaternion_euler_yaw_unwrapped_rad,quaternion_euler_yaw_rate_radps,measured_body_wz_radps,euler_yaw_rate_minus_geometric_radps,body_wz_minus_geometric_radps,euler_yaw_rate_minus_commanded_radps,body_wz_minus_commanded_radps,body_wz_minus_euler_yaw_rate_radps,tangent_yaw_error_deg,tilt_deg
2.36,0.8599156007704674,1.3336172514781852,1.0,1.3336172514781852,1.146798280002723,2.2163994613343165,1.1626156901247526,1.1843612093421922,0.01581741012202964,0.03756292933946925,-0.17100156135343259,-0.14925604213599297,0.021745519217439613,-15.086137524932772,4.587157348250265
2.38,0.8535611031637952,1.332913827575696,1.0,1.332913827575696,1.1377233970877878,2.2401129132964104,1.1853499785247053,1.2395009421097043,0.04762658143691745,0.1017775450219165,-0.14756384905099074,-0.09341288546599169,0.054150963584999046,-14.60519145564584,3.9735763849656127
2.4,0.8488717435674654,1.332613420961706,1.0,1.332613420961706,1.131217878153168,2.263813460475305,1.1646991826679312,1.1806788913905848,0.033481304514763055,0.049461013237416696,-0.16791423829377483,-0.1519345295711212,0.01597970872265364,-15.005347335581025,3.8297383668529643
2.42,0.8457496769228879,1.334396191923106,1.0,1.334396191923106,1.1285651482060988,2.2867008806031275,1.1514599217670494,1.1565508012099688,0.0228947735609506,0.027985653003870015,-0.18293627015605662,-0.1778453907131372,0.005090879442919416,-14.57414463886195,3.7898723125869926
2.44,0.8436114707369303,1.3331540679829288,1.0,1.3331540679829288,1.12466406401,2.309871857345987,1.1574236665228028,1.172886538287045,0.032759602512802743,0.04822247427704496,-0.17573040146012597,-0.16026752969588376,0.015462871764242214,-15.011053611509881,4.099908675142961
2.46,0.8430481461683699,1.3339365196028743,1.0,1.3339365196028743,1.1245727099574905,2.3329978272640397,1.163506027595865,1.1744468662416596,0.0389333176383746,0.049874156284169135,-0.17043049200700922,-0.15948965336121468,0.010940838645794537,-14.569390306441093,4.541487761033866
2.48,0.8432109121162465,1.3330713458132815,1.0,1.3330713458132815,1.1240603054192493,2.3564120984498214,1.1706012198672298,1.181463786522732,0.046540914447980475,0.0574034811034827,-0.1624701259460517,-0.15160755929054948,0.010862566655502226,-14.997676904764667,5.0576705269012106
2.5,0.8451333027655601,1.3333624065583523,1.0,1.3333624065583523,1.1268689744380957,2.379821876058729,1.192137214645669,1.185105888026666,0.06526824020757327,0.058236913588570305,-0.14122519191268323,-0.1482565185316862,-0.007031326619002964,-14.54232385076982,5.50312357673366
2.52,0.8462433373784412,1.3323534527305605,1.0,1.3323534527305605,1.1274952324063987,2.4040975870356482,1.212162728507714,1.2088685760916653,0.08466749610131519,0.08137334368526661,-0.1201907242228466,-0.12348487663889518,-0.003294152416048579,-14.926589331956736,5.830581855263029
2.54,0.8479985065330902,1.3343474860939941,1.0,1.3343474860939941,1.1315246754038903,2.4283083851990375,1.2539360284000338,1.2740812744187302,0.12241135299614347,0.14255659901483986,-0.0804114576939603,-0.060266211675263914,0.020145246018696383,-14.427263758300812,5.991850102007063
2.56,0.849349972855671,1.333360942349855,1.0,1.333360942349855,1.1324900801916613,2.4542550281716498,1.2935154254874064,1.3262759426945152,0.16102534529574508,0.1937858625028539,-0.03984551686244853,-0.007084999655339708,0.03276051720710882,-14.72007815053955,6.22505082110275
2.58,0.8524191194983326,1.3336802570245267,1.0,1.3336802570245267,1.136854550385157,2.480049002218534,1.2633909067588363,1.2741922167925643,0.12653635637367922,0.1373376664074073,-0.0702893502656905,-0.059488040231962414,0.010801310033728084,-14.132891331819806,6.367911793692736
2.6,0.8533473361397991,1.3334531822612083,1.0,1.3334531822612083,1.1378987209497402,2.504790664442003,1.1555826545701322,1.1442552182769572,0.017683933620392,0.006356497327216992,-0.17787052769107614,-0.18919796398425115,-0.011327436293175008,-14.498708958117094,5.802665935848905
2.62,0.8562395236490855,1.3336128341147782,1.0,1.3336128341147782,1.1418920178147445,2.526272308401339,1.0496987642094666,1.0883609570466837,-0.09219325360527786,-0.0535310607680608,-0.28391406990531154,-0.24525187706809448,0.03866219283721706,-14.160611021857884,6.331050124185873
2.64,0.8598454238150892,1.3329296878200085,1.0,1.3329296878200085,1.1461134923393097,2.546778615010382,0.9786517789809821,0.9971214188169264,-0.1674617133583276,-0.1489920735223833,-0.35427790883902643,-0.33580826900308214,0.018469639835944296,-14.772950689807136,7.017356643374811
2.66,0.8642525989994343,1.3335492609893262,1.0,1.3335492609893262,1.1525234147038002,2.5654183795605783,0.8522498286778415,0.8676879556384012,-0.30027358602595866,-0.284835459065399,-0.48129943231148475,-0.46586130535092507,0.015438126960559684,-14.599050638025329,7.692544306546921
